Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,epidermis development (GO:0008544), 21/83,2.0008444017158717e-27,1.016428956071663e-24,CERS3;KRTDAP;SPRR2E;SPRR2F;SPRR3;SPRR2G;CALML5;BNC1;KRT5;KRT31;FOXN1;PTHLH;COL7A1;GJB5;KRT14;SPRR2A;SPRR2B;SPRR1A;SPRR1B;S100A7;SPRR2D
GO_Biological_Process_2021,keratinocyte differentiation (GO:0030216), 10/41,1.899912613496359e-13,4.825778038280752e-11,CERS3;SPRR2F;SPRR3;SPRR2G;KRT16;SPRR2A;SPRR2B;SPRR1A;SPRR1B;S100A7
GO_Biological_Process_2021,epidermal cell differentiation (GO:0009913), 10/53,3.0777900018379117e-12,5.211724403112197e-10,CERS3;SPRR2F;SPRR3;SPRR2G;KRT16;SPRR2A;SPRR2B;SPRR1A;SPRR1B;S100A7
GO_Biological_Process_2021,skin development (GO:0043588), 11/80,9.215782711871591e-12,1.170404404407692e-09,CERS3;SPRR2F;SPRR3;SPRR2G;KRT16;SPRR2A;SPRR2B;SPRR1A;TP63;SPRR1B;S100A7
GO_Biological_Process_2021,negative regulation of endopeptidase activity (GO:0010951), 8/63,1.3195315738467842e-08,1.3406440790283329e-06,SERPINB3;SERPINB4;ANXA8L1;SERPINB2;SERPINB13;ANXA8;SERPINB7;SERPINB5
GO_Biological_Process_2021,regulation of endopeptidase activity (GO:0052548), 7/71,6.482442646007186e-07,5.488468106952751e-05,SERPINB3;SERPINB4;SERPINB2;SERPINB13;A2ML1;SERPINB7;SERPINB5
GO_Biological_Process_2021,negative regulation of peptidase activity (GO:0010466), 6/63,5.171211997952722e-06,0.0003752822421371404,SERPINB3;SERPINB4;SERPINB2;SERPINB13;SERPINB7;SERPINB5
GO_Biological_Process_2021,peptide cross-linking (GO:0018149), 4/31,6.248011484896508e-05,0.0039674872929092,SPRR2E;PI3;SPRR1A;SPRR1B
GO_Biological_Process_2021,defense response to bacterium (GO:0042742), 7/176,0.0002438693322276243,0.0137650689746259,GBP6;PGLYRP3;RNASE7;PI3;WFDC5;S100A7;KRT6A
GO_Biological_Process_2021,regulation of peptidase activity (GO:0052547), 3/23,0.0005365234652347395,0.0272553920339247,SERPINB3;SERPINB4;A2ML1
GO_Biological_Process_2021,regulation of serine-type endopeptidase activity (GO:1900003), 2/6,0.0007164419611361558,0.0303293763547639,ANXA8L1;ANXA8
